,Name,Year,Age,Tm,Pos,No.,G,GS,AV,Ret,Yds,TD,Lng,Y/R,Rt,Yds.1,TD.1,Lng.1,Y/Rt,APYd,Rec,R/G,Y/G,Att,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Int,PD,FF,FR,Sk,Sfty,Comb,Solo,Ast,TFL,QBHits,Awards,Player ID,Tgt,1D,Succ%,Ctch%,Y/Tgt,1D.1,Succ%.1,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Pts,Pts/G,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,FG%,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Y/P,Blck
35,Flozell Adams,2004,29.0,DAL,LT,76.0,16,16.0,9.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,,7.0,6.0,1.0,0.0,,PB,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Flozell Adams,2005,30.0,DAL,LT,76.0,6,6.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Flozell Adams,2006,31.0,DAL,LT,76.0,16,16.0,13.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,PB,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Flozell Adams,2007,32.0,DAL,LT,76.0,16,16.0,13.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,2.0,0.0,,,,,,,"AP2, PB",69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Flozell Adams,2008,33.0,DAL,LT,76.0,16,16.0,10.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,2.0,0.0,,,,,,,PB,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Flozell Adams,2009,34.0,DAL,LT,76.0,16,16.0,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Flozell Adams,2010,35.0,PIT,RT,71.0,16,16.0,8.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Jeff Adams,2014,25.0,HOU,T,70.0,2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Jeff Adams,2015,26.0,HOU,T,70.0,2,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Pete Adams,1974,23.0,CLE,LG,69.0,12,9.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Pete Adams,1976,25.0,CLE,LG,69.0,13,13.0,7.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,1.0,0.0,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Sam Adams,1972,24.0,NWE,G,61.0,6,1.0,1.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,1.0,0.0,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Sam Adams,1973,25.0,NWE,LT,61.0,12,8.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Sam Adams,1974,26.0,NWE,RG,61.0,14,13.0,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Sam Adams,1975,27.0,NWE,RG,61.0,13,13.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Sam Adams,1976,28.0,NWE,RG,61.0,14,14.0,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Sam Adams,1977,29.0,NWE,RG,61.0,14,13.0,8.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,1.0,0.0,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Sam Adams,1978,30.0,NWE,RG,61.0,16,16.0,7.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Sam Adams,1979,31.0,NWE,RG,61.0,15,13.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Sam Adams,1980,32.0,NWE,RG,61.0,15,14.0,8.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,1.0,0.0,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Sam Adams,1981,33.0,NOR,RG,61.0,16,16.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Scott Adams,1992,26.0,MIN,T,72.0,15,0.0,1.0,,,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Scott Adams,1993,27.0,MIN,RG,72.0,15,9.0,4.0,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Scott Adams,1994,28.0,NOR,G,64.0,11,0.0,1.0,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Scott Adams,1995,29.0,CHI,T,72.0,4,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Scott Adams,1996,30.0,TAM,G,71.0,7,2.0,1.0,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Scott Adams,1997,31.0,ATL,G,71.0,6,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Theo Adams,1992,26.0,SEA,T,61.0,10,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Theo Adams,1993,27.0,TAM,T,73.0,7,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Ken Adamson,1960,22.0,DEN,LG,60.0,14,14.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Ken Adamson,1961,23.0,DEN,LG,60.0,14,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AP1, PB",113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Ken Adamson,1962,24.0,DEN,G,60.0,4,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,John Adickes,1987,23.0,CHI,C,54.0,6,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,John Adickes,1988,24.0,CHI,C,54.0,16,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,John Adickes,1989,25.0,MIN,C,68.0,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Mark Adickes,1986,25.0,KAN,RG,61.0,15,15.0,7.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Mark Adickes,1987,26.0,KAN,RG,61.0,12,12.0,5.0,,3.0,1.0,3.0,3.0,,,0.0,,,,1.0,0.1,0.3,,,,,1.0,3.0,3.0,1.0,0.0,,,,,,,,,,,,,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Mark Adickes,1988,27.0,KAN,RG,61.0,10,10.0,4.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Mark Adickes,1989,28.0,KAN,LG,61.0,16,11.0,5.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Mark Adickes,1990,29.0,WAS,G,61.0,8,1.0,1.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Mark Adickes,1991,30.0,WAS,G,61.0,16,0.0,2.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Louis Age,1992,22.0,CHI,T,79.0,6,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Charles Aiu,1976,22.0,SDG,G,64.0,12,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Charles Aiu,1977,23.0,SDG,G,64.0,14,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Charles Aiu,1978,24.0,2TM,G,,7,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Harold Akin,1967,22.0,SDG,T,71.0,3,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Harold Akin,1968,23.0,SDG,T,71.0,10,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Alex Akingbulu,2023,26.0,WAS,T,62.0,2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Anthony Alabi,2006,25.0,MIA,T,79.0,6,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Anthony Alabi,2007,26.0,MIA,T,79.0,10,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Branden Albert,2008,24.0,KAN,LT,76.0,15,15.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Branden Albert,2009,25.0,KAN,LT,76.0,14,14.0,5.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Branden Albert,2010,26.0,KAN,LT,76.0,15,15.0,6.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Branden Albert,2011,27.0,KAN,LT,76.0,16,16.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Branden Albert,2012,28.0,KAN,LT,76.0,13,11.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Branden Albert,2013,29.0,KAN,LT,76.0,12,12.0,7.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,PB,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Branden Albert,2014,30.0,MIA,LT,71.0,9,9.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Branden Albert,2015,31.0,MIA,LT,76.0,14,14.0,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,PB,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Branden Albert,2016,32.0,MIA,LT,76.0,12,12.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Ted Albrecht,1977,23.0,CHI,LT,64.0,14,12.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,AP ORoY-3,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Ted Albrecht,1978,24.0,CHI,LT,64.0,15,15.0,5.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,1.0,0.0,,,,,,,,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Ted Albrecht,1979,25.0,CHI,LT,64.0,16,16.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
