,Name,Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Int,PD,FF,FR,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Ret,Rt,Y/Rt,APYd,Player ID,QBrec,Cmp,Cmp%,TD%,Int%,AY/A,Y/C,Rate,Sk%,NY/A,ANY/A,4QC,GWD,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Y/P,RetYds,Net,NY/P,In20,In20%,Blck,QBR
106,Derrick Alexander,1996.0,25.0,BAL,WR,82.0,15.0,14.0,107.0,62.0,1099.0,17.7,9.0,48.0,47.7,64.0,4.1,73.3,57.9%,10.3,3.0,0.0,0.0,1.0,33.3,12.0,0.0,0.0,0.2,65.0,16.9,1099.0,9.0,0.0,11.0,,,,,,,,,,,,,,,,,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Derrick Alexander,1997.0,26.0,BAL,WR,82.0,15.0,13.0,124.0,65.0,1009.0,15.5,9.0,39.0,46.8,92.0,4.3,67.3,52.4%,8.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,66.0,15.3,1009.0,9.0,1.0,7.0,,,,,,,,,,,,,,,,,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Derrick Alexander,1998.0,27.0,KAN,WR,82.0,15.0,14.0,107.0,54.0,992.0,18.4,4.0,40.0,43.9,65.0,3.6,66.1,50.5%,9.3,,,0.0,,,,,,,54.0,18.4,992.0,4.0,0.0,9.0,,,,,,,,,,,,,,,,,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Derrick Alexander,1999.0,28.0,KAN,WR,82.0,16.0,15.0,103.0,54.0,832.0,15.4,2.0,31.0,44.7,86.0,3.4,52.0,52.4%,8.1,2.0,82.0,1.0,1.0,50.0,82.0,41.0,5.1,0.1,56.0,16.3,914.0,3.0,0.0,8.0,,,,,,,,,,,,,,,,,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Derrick Alexander,2000.0,29.0,KAN,WR,82.0,16.0,16.0,144.0,78.0,1391.0,17.8,10.0,55.0,50.0,81.0,4.9,86.9,54.2%,9.7,3.0,45.0,0.0,2.0,66.7,26.0,15.0,2.8,0.2,81.0,17.7,1436.0,10.0,0.0,13.0,,,,,,,,,,,,,,,,,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Derrick Alexander,2001.0,30.0,KAN,WR,82.0,13.0,11.0,68.0,27.0,470.0,17.4,3.0,22.0,38.2,46.0,2.1,36.2,39.7%,6.9,2.0,16.0,0.0,1.0,50.0,15.0,8.0,1.2,0.2,29.0,16.8,486.0,3.0,0.0,4.0,,,,,,,,,,,,,,,,,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Derrick Alexander,2002.0,31.0,MIN,WR,82.0,8.0,5.0,39.0,14.0,134.0,9.6,1.0,7.0,33.3,18.0,1.8,16.8,35.9%,3.4,,,0.0,,,,,,,14.0,9.6,134.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Glenn Alexander,1970.0,23.0,BUF,WR,45.0,13.0,0.0,,,2.0,2.0,0.0,,,2.0,,,,,,204.0,0.0,,,30.0,,,,,,,,,0.0,,,,,,,,,,,,,1.0,12.0,17.0,257.0,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Kevin Alexander,1996.0,21.0,NYG,WR,86.0,4.0,0.0,10.0,4.0,88.0,22.0,0.0,3.0,30.0,35.0,1.0,22.0,40.0%,8.8,,,0.0,,,,,,,4.0,22.0,88.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Kevin Alexander,1997.0,22.0,NYG,WR,86.0,14.0,8.0,49.0,18.0,276.0,15.3,1.0,14.0,28.6,40.0,1.3,19.7,36.7%,5.6,,,0.0,,,,,,,18.0,15.3,276.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
