,Name,Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Int,PD,FF,FR,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Ret,Rt,Y/Rt,APYd,Player ID,QBrec,Cmp,Cmp%,TD%,Int%,AY/A,Y/C,Rate,Sk%,NY/A,ANY/A,4QC,GWD,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Y/P,RetYds,Net,NY/P,In20,In20%,Blck,QBR
3807,Marvin Harrison,2006.0,34.0,IND,WR,88.0,16,16,148,95,1366,14.4,12,78,60.1,68,5.9,85.4,64.2%,9.2,,,0,,,,,,,95,14.4,1366,12,1,17,,,,,,,,,,,,"AP1, PB",,,,,10176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3808,Marvin Harrison,2007.0,35.0,IND,WR,88.0,5,5,32,20,247,12.4,1,12,56.3,42,4.0,49.4,62.5%,7.7,,,0,,,,,,,20,12.4,247,1,0,3,,,,,,,,,,,,,,,,,10176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3809,Marvin Harrison,2008.0,36.0,IND,WR,88.0,15,15,107,60,636,10.6,5,41,47.7,67,4.0,42.4,56.1%,5.9,,,0,,,,,,,60,10.6,636,5,1,7,,,,,,,,,,,,,,,,,10176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3810,Vic Harrison,1987.0,26.0,NOR,WR,86.0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,10186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3811,Carl Harry,1989.0,22.0,WAS,WR,89.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,10188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3812,Carl Harry,1992.0,25.0,WAS,WR,24.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,10188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3813,Emile Harry,1986.0,23.0,KAN,WR,86.0,12,0,,9,211,23.4,1,,,53,0.8,17.6,,,,,0,,,,,,,9,23.4,211,1,1.0,2,,,,,,,,,,,,,,,,,10189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3814,Emile Harry,1988.0,25.0,KAN,WR,86.0,16,2,,26,362,13.9,1,,,38,1.6,22.6,,,,,0,,,,,,,26,13.9,362,1,0.0,3,,,,,,,,,,,,,,,,,10189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3815,Emile Harry,1989.0,26.0,KAN,WR,86.0,16,6,,33,430,13.0,2,,,25,2.1,26.9,,,1.0,9.0,0,,,9.0,9.0,0.6,0.1,34,12.9,439,2,1.0,4,,,,,,,,,,,,,,,,,10189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3816,Emile Harry,1990.0,27.0,KAN,WR,86.0,16,1,,41,519,12.7,2,,,60,2.6,32.4,,,,,0,,,,,,,41,12.7,519,2,0.0,5,,,,,,,,,,,,,,,,,10189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3817,Emile Harry,1991.0,28.0,KAN,WR,86.0,12,8,,35,431,12.3,3,,,36,2.9,35.9,,,,,0,,,,,,,35,12.3,431,3,0.0,5,,,,,,,,,,,,,,,,,10189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3818,Emile Harry,1992.0,29.0,2TM,WR,,11,0,9.0,6,58,9.7,0,,,13,0.5,5.3,66.7%,6.4,1.0,27.0,0,,,27.0,27.0,2.5,0.1,7,12.1,85,0,0.0,1,,,,,,,,,,,,,,,,,10189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3819,N'Keal Harry,2019.0,22.0,NWE,WR,15.0,7,5,24.0,12.0,105.0,8.8,2,7.0,41.7,18.0,1.7,15.0,50.0%,4.4,5.0,49.0,0,4.0,80.0,18.0,9.8,7.0,0.7,17.0,9.1,154.0,2,0.0,1,,,,,,,,,,,,,,,,,10190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3820,N'Keal Harry,2020.0,23.0,NWE,WR,15.0,14,9,57.0,33.0,309.0,9.4,2,15.0,49.1,30.0,2.4,22.1,57.9%,5.4,2.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.1,35.0,8.8,309.0,2,1.0,3,,,,,,,,,,,,,,,,,10190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3821,N'Keal Harry,2021.0,24.0,NWE,WR,1.0,12,4,22.0,12.0,184.0,15.3,0,7.0,50.0,43.0,1.0,15.3,54.5%,8.4,,,0,,,,,,,12.0,15.3,184.0,0,1.0,2,,,,,,,,,,,,,,,,,10190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3822,N'Keal Harry,2022.0,25.0,CHI,WR,8.0,7,0,9.0,7.0,116.0,16.6,1,4.0,77.8,49.0,1.0,16.6,77.8%,12.9,,,0,,,,,,,7.0,16.6,116.0,1,0.0,1,,,,,,,,,,,,,,,,,10190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3823,N'Keal Harry,2023.0,26.0,MIN,WR,13.0,9,0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,,10190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3824,Penny Hart,2020.0,24.0,SEA,WR,19.0,13,0.0,1,1,3,3.0,0,0,0.0,3,0.1,0.2,100.0%,3.0,1.0,19.0,0,1.0,100.0,19.0,19.0,1.5,0.1,2,11.0,22,0,0.0,0,,,,,,,,,,,,,,,,,10206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3825,Penny Hart,2021.0,25.0,SEA,WR,19.0,17,0.0,12,7,59,8.4,0,3,41.7,16,0.4,3.5,58.3%,4.9,,,0,,,,,,,7,8.4,59,0,0.0,1,,,,,,,,,,,,,,,,,10206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3826,Penny Hart,2022.0,26.0,SEA,WR,19.0,9,0.0,4,3,20,6.7,0,1,25.0,15,0.3,2.2,75.0%,5.0,,,0,,,,,,,3,6.7,20,0,0.0,0,,,,,,,,,,,,,,,,,10206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3827,Brian Hartline,2009.0,23.0,MIA,WR,82.0,16,2,56,31,506,16.3,3,26,50.0,67,1.9,31.6,55.4%,9.0,4.0,29.0,1,2.0,75.0,16.0,7.3,1.8,0.3,35,15.3,535,4,0,5,,,,,,,,,,,,,,,,,10220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3828,Brian Hartline,2010.0,24.0,MIA,WR,82.0,12,11,73,43,615,14.3,1,27,52.1,54,3.6,51.3,58.9%,8.4,2.0,27.0,0,1.0,50.0,30.0,13.5,2.3,0.2,45,14.3,642,1,1,4,,,,,,,,,,,,,,,,,10220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3829,Brian Hartline,2011.0,25.0,MIA,WR,82.0,16,10,66,35,549,15.7,1,30,50.0,41,2.2,34.3,53.0%,8.3,1.0,9.0,0,1.0,100.0,9.0,9.0,0.6,0.1,36,15.5,558,1,0,5,,,,,,,,,,,,,,,,,10220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3830,Brian Hartline,2012.0,26.0,MIA,WR,82.0,16,15,131,74,1083,14.6,1,49,51.9,80,4.6,67.7,56.5%,8.3,,,0,,,,,,,74,14.6,1083,1,1,8,,,,,,,,,,,,,,,,,10220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3831,Brian Hartline,2013.0,27.0,MIA,WR,82.0,16,15,133,76,1016,13.4,4,53,51.1,50,4.8,63.5,57.1%,7.6,,,0,,,,,,,76,13.4,1016,4,0,7,,,,,,,,,,,,,,,,,10220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3832,Brian Hartline,2014.0,28.0,MIA,WR,82.0,16,16,63,39,474,12.2,2,27,54.0,35,2.4,29.6,61.9%,7.5,,,0,,,,,,,39,12.2,474,2,1,4,,,,,,,,,,,,,,,,,10220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3833,Brian Hartline,2015.0,29.0,CLE,WR,83.0,12,4,77,46,523,11.4,2,30,49.4,41,3.8,43.6,59.7%,6.8,,,0,,,,,,,46,11.4,523,2,1,3,,,,,,,,,,,,,,,,,10220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3834,Keith Hartwig,1977.0,24.0,GNB,WR,82.0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,10236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3835,Deonte Harty,2019.0,22.0,NOR,WR,11.0,14,1,6,6,24,4.0,0,2.0,33.3,13,0.4,1.7,100.0%,4.0,4.0,31.0,0,2.0,100.0,10.0,7.8,2.2,0.3,10,5.5,55,0,3,1,,,,,,,,,,,,"AP1, PB",,,,,10237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3836,Deonte Harty,2020.0,23.0,NOR,WR,11.0,9,2,25,20,186,9.3,1,10.0,60.0,40,2.2,20.7,80.0%,7.4,6.0,51.0,0,2.0,83.3,23.0,8.5,5.7,0.7,26,9.1,237,1,3,2,,,,,,,,,,,,,,,,,10237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837,Deonte Harty,2021.0,24.0,NOR,WR,11.0,13,1,59,36,570,15.8,3,23.0,50.8,72,2.8,43.8,61.0%,9.7,5.0,41.0,0,1.0,60.0,22.0,8.2,3.2,0.4,41,14.9,611,3,2,5,,,,,,,,,,,,,,,,,10237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3838,Deonte Harty,2022.0,25.0,NOR,WR,11.0,4,0,2,2,13,6.5,0,,50.0,9,0.5,3.3,100.0%,6.5,,,0,,,,,,,2,6.5,13,0,1,0,,,,,,,,,,,,,,,,,10237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3839,Deonte Harty,2023.0,26.0,BUF,WR,11.0,16,1,21,15,150,10.0,1,9.0,52.4,43,0.9,9.4,71.4%,7.1,4.0,0.0,0,0.0,25.0,4.0,0.0,0.0,0.3,19,7.9,150,1,2,2,,,,,,,,,,,,,,,,,10237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3840,Percy Harvin,2009.0,21.0,MIN,WR,12.0,15,8,91,60,790,13.2,6,43,53.8,51,4.0,52.7,65.9%,8.7,15.0,135.0,0,8.0,66.7,35.0,9.0,9.0,1.0,75,12.3,925,6,1,11,,,,,,,,,,,,"AP ORoY-1, PB",,,,,10259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3841,Percy Harvin,2010.0,22.0,MIN,WR,12.0,14,13,109,71,868,12.2,5,40,49.5,53,5.1,62.0,65.1%,8.0,18.0,107.0,1,7.0,61.1,17.0,5.9,7.6,1.3,89,11.0,975,6,1,9,,,,,,,,,,,,,,,,,10259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3842,Percy Harvin,2011.0,23.0,MIN,WR,12.0,16,14,121,87,967,11.1,6,47,50.4,52,5.4,60.4,71.9%,8.0,52.0,345.0,2,15.0,53.8,39.0,6.6,21.6,3.3,139,9.4,1312,8,2,12,,,,,,,,,,,,,,,,,10259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3843,Percy Harvin,2012.0,24.0,MIN,WR,12.0,9,8,85,62,677,10.9,3,37,61.2,45,6.9,75.2,72.9%,8.0,22.0,96.0,1,7.0,54.5,20.0,4.4,10.7,2.4,84,9.2,773,4,2,9,,,,,,,,,,,,,,,,,10259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3844,Percy Harvin,2013.0,25.0,SEA,WR,11.0,1,0,1,1,17,17.0,0,1,100.0,17,1.0,17.0,100.0%,17.0,,,0,,,,,,,1,17.0,17,0,0,0,,,,,,,,,,,,,,,,,10259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3845,Percy Harvin,2014.0,26.0,2TM,WR,,13,12,78,51,483,9.5,1,46,48.7,45,3.9,37.2,65.4%,6.2,33.0,202.0,1,24.0,60.6,51.0,6.1,15.5,2.5,84,8.2,685,2,3,5,,,,,,,,,,,,,,,,,10259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3846,Percy Harvin,2015.0,27.0,BUF,WR,18.0,5,5,30,19,218,11.5,1,10,40.0,51,3.8,43.6,63.3%,7.3,5.0,31.0,0,2.0,80.0,9.0,6.2,6.2,1.0,24,10.4,249,1,1,2,,,,,,,,,,,,,,,,,10259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3847,Percy Harvin,2016.0,28.0,BUF,WR,11.0,2,1,4,2,6,3.0,0,0,0.0,5,1.0,3.0,50.0%,1.5,1.0,11.0,0,1.0,100.0,11.0,11.0,5.5,0.5,3,5.7,17,0,0,0,,,,,,,,,,,,,,,,,10259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3848,Clint Haslerig,1974.0,22.0,2TM,WR,,12,0.0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,10268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3849,Clint Haslerig,1975.0,23.0,2TM,RB,,10,0.0,,2.0,28.0,14.0,0,,,17.0,0.2,2.8,,,2.0,9.0,0,,,6.0,4.5,0.9,0.2,4.0,9.3,37.0,0,0.0,0,,,,,,,,,,,,,,,,,10268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3850,Clint Haslerig,1976.0,24.0,NYJ,WR,84.0,5,0.0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0.0,0,,,,,,,,,,,,,,,,,10268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3851,Mike Hass,2007.0,24.0,CHI,WR,83.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,10271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3852,Mike Hass,2009.0,26.0,SEA,WR,18.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,10271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3853,Andre Hastings,1993.0,23.0,PIT,WR,88.0,6,0,6.0,3.0,44.0,14.7,0,,,18.0,0.5,7.3,50.0%,7.3,,,0,,,,,,,3.0,14.7,44.0,0,0,0,,,,,,,,,,,,,,,,,10278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3854,Andre Hastings,1994.0,24.0,PIT,WR,88.0,16,8,42.0,20.0,281.0,14.1,2,12.0,40.5,46.0,1.3,17.6,47.6%,6.7,,,0,,,,,,,20.0,14.1,281.0,2,0,2,,,,,,,,,,,,,,,,,10278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3855,Andre Hastings,1995.0,25.0,PIT,WR,88.0,16,0,67.0,48.0,502.0,10.5,1,26.0,50.7,36.0,3.0,31.4,71.6%,7.5,1.0,14.0,0,1.0,100.0,14.0,14.0,0.9,0.1,49.0,10.5,516.0,1,1,6,,,,,,,,,,,,,,,,,10278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3856,Andre Hastings,1996.0,26.0,PIT,WR,88.0,16,10,115.0,72.0,739.0,10.3,6,41.0,49.6,38.0,4.5,46.2,62.6%,6.4,4.0,71.0,0,3.0,75.0,37.0,17.8,4.4,0.3,76.0,10.7,810.0,6,3,8,,,,,,,,,,,,,,,,,10278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3857,Andre Hastings,1997.0,27.0,NOR,WR,88.0,16,16,118.0,48.0,722.0,15.0,5,34.0,36.4,39.0,3.0,45.1,40.7%,6.1,4.0,35.0,0,1.0,25.0,27.0,8.8,2.2,0.3,52.0,14.6,757.0,5,1,5,,,,,,,,,,,,,,,,,10278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3858,Andre Hastings,1998.0,28.0,NOR,WR,88.0,16,12,87.0,35.0,455.0,13.0,3,23.0,36.8,89.0,2.2,28.4,40.2%,5.2,3.0,32.0,0,2.0,66.7,16.0,10.7,2.0,0.2,38.0,12.8,487.0,3,0,3,,,,,,,,,,,,,,,,,10278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3859,Andre Hastings,1999.0,29.0,NOR,WR,88.0,15,5,64.0,40.0,564.0,14.1,1,25.0,51.6,42.0,2.7,37.6,62.5%,8.8,1.0,4.0,0,0.0,0.0,4.0,4.0,0.3,0.1,41.0,13.9,568.0,1,0,4,,,,,,,,,,,,,,,,,10278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3860,Andre Hastings,2000.0,30.0,TAM,WR,88.0,3,0,,,,,0,,,,,,,,,,0,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,10278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3861,Joe Hastings,2011.0,24.0,SFO,WR,13,1,0,1,0,0,,0,,,0,0.0,0.0,0.0%,0.0,,,0,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,10280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3862,Keon Hatcher,2018.0,24.0,OAK,WR,14.0,3,0.0,2,1,8,8.0,0,,0.0,8,0.3,2.7,50.0%,4.0,,,0,,,,,,,1,8.0,8,0,0.0,0,,,,,,,,,,,,,,,,,10288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3863,Matthew Hatchette,1997.0,23.0,MIN,WR,89.0,16,0,12,3,54,18.0,0,3,25.0,38,0.2,3.4,25.0%,4.5,,,0,,,,,,,3,18.0,54,0,0.0,1,,,,,,,,,,,,,,,,,10291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3864,Matthew Hatchette,1998.0,24.0,MIN,WR,89.0,5,0,25,15,216,14.4,0,13,56.0,25,3.0,43.2,60.0%,8.6,,,0,,,,,,,15,14.4,216,0,0.0,3,,,,,,,,,,,,,,,,,10291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3865,Matthew Hatchette,1999.0,25.0,MIN,WR,89.0,13,0,19,9,180,20.0,2,7,47.4,80,0.7,13.8,47.4%,9.5,,,0,,,,,,,9,20.0,180,2,0.0,2,,,,,,,,,,,,,,,,,10291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3866,Matthew Hatchette,2000.0,26.0,MIN,WR,89.0,14,4,33,16,190,11.9,2,9,30.3,39,1.1,13.6,48.5%,5.8,,,0,,,,,,,16,11.9,190,2,0.0,2,,,,,,,,,,,,,,,,,10291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3867,Matthew Hatchette,2001.0,27.0,NYJ,WR,81.0,11,0,15,2,44,22.0,0,2,13.3,29,0.2,4.0,13.3%,2.9,,,0,,,,,,,2,22.0,44,0,0.0,0,,,,,,,,,,,,,,,,,10291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3868,Matthew Hatchette,2003.0,29.0,JAX,WR,81.0,6,4,28,15,203,13.5,2,10,50.0,45,2.5,33.8,53.6%,7.3,,,0,1.0,,,,,,15,13.5,203,2,0.0,2,,,,,,,,,,,,,,,,,10291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3869,Sam Havrilak,1969.0,22.0,BAL,RB,17.0,14,0,,1,49.0,5.0,1,,,29.0,0.1,3.5,,,5.0,5,0,,,5,9.8,0.4,0.4,6,9.0,54,1,4.0,0,,,,,,,,,,,,,,,,,10311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3870,Sam Havrilak,1970.0,23.0,BAL,RB,17.0,13,1,,14,159.0,10.1,0,,,26.0,1.1,12.2,,,54.0,141,0,,,33,2.9,10.8,4.2,68,4.4,300,0,0.0,4,,,,,,,,,,,,,,,,,10311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3871,Sam Havrilak,1971.0,24.0,BAL,WR,17.0,14,0,,1,,12.0,0,,,,0.1,,,,,12,0,,,12,,0.9,,1,12.0,12,0,0.0,0,,,,,,,,,,,,,,,,,10311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3872,Sam Havrilak,1972.0,25.0,BAL,WR,17.0,14,14,,33,72.0,17.3,2,,,32.0,2.4,5.1,,,12.0,571,4,,,62,6.0,40.8,0.9,45,14.3,643,6,0.0,6,,,,,,,,,,,,,,,,,10311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3873,Sam Havrilak,1973.0,26.0,BAL,WR,17.0,14,0,,1,9.0,9.0,0,,,8.0,0.1,0.6,,,2.0,9,0,,,9,4.5,0.6,0.1,3,6.0,18,0,0.0,0,,,,,,,,,,,,,,,,,10311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3874,Sam Havrilak,1974.0,27.0,NOR,WR,80.0,6,0,,1,,23.0,0,,,,0.2,,,,,23,0,,,23,,3.8,,1,23.0,23,0,0.0,0,,,,,,,,,,,,,,,,,10311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3875,Andrew Hawkins,2011.0,25.0,CIN,WR,16.0,13,0,34,23,263,11.4,0,12,47.1,26,1.8,20.2,67.6%,7.7,5.0,25.0,0,2.0,80.0,8.0,5.0,1.9,0.4,28,10.3,288,0,0,3,,,,,,,,,,,,,,,,,10316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3876,Andrew Hawkins,2012.0,26.0,CIN,WR,16.0,14,2,80,51,533,10.5,4,24,48.8,59,3.6,38.1,63.8%,6.7,6.0,30.0,0,2.0,33.3,11.0,5.0,2.1,0.4,57,9.9,563,4,1,5,,,,,,,,,,,,,,,,,10316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3877,Andrew Hawkins,2013.0,27.0,CIN,WR,16.0,8,0,18,12,199,16.6,0,8,44.4,50,1.5,24.9,66.7%,11.1,2.0,3.0,0,1.0,50.0,6.0,1.5,0.4,0.3,14,14.4,202,0,1,2,,,,,,,,,,,,,,,,,10316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3878,Andrew Hawkins,2014.0,28.0,CLE,WR,16.0,15,15,112,63,824,13.1,2,44,46.4,65,4.2,54.9,56.3%,7.4,3.0,15.0,0,0.0,66.7,8.0,5.0,1.0,0.2,66,12.7,839,2,0,5,,,,,,,,,,,,,,,,,10316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3879,Andrew Hawkins,2015.0,29.0,CLE,WR,16.0,8,8,43,27,276,10.2,0,11,46.5,25,3.4,34.5,62.8%,6.4,,,0,,,,,,,27,10.2,276,0,1,2,,,,,,,,,,,,,,,,,10316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3880,Andrew Hawkins,2016.0,30.0,CLE,WR,16.0,16,5,54,33,324,9.8,3,20,46.3,33,2.1,20.3,61.1%,6.0,2.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.1,35,9.3,324,3,0,2,,,,,,,,,,,,,,,,,10316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3881,Ben Hawkins,1966.0,22.0,PHI,FL,18.0,14,12,,14.0,143.0,10.2,0,,,23.0,1.0,10.2,,,,,0,,,,,,,14.0,10.2,143.0,0,3.0,2,,,,,,,,,,,,,,,,,10319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3882,Ben Hawkins,1967.0,23.0,PHI,FL,18.0,14,14,,59.0,1265.0,21.4,10,,,87.0,4.2,90.4,,,,,0,,,,,,,59.0,21.4,1265.0,10,1.0,15,,,,,,,,,,,,,,,,,10319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3883,Ben Hawkins,1968.0,24.0,PHI,FL,18.0,14,14,,42.0,707.0,16.8,5,,,92.0,3.0,50.5,,,,,0,,,,,,,42.0,16.8,707.0,5,0.0,7,,,,,,,,,,,,,,,,,10319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3884,Ben Hawkins,1969.0,25.0,PHI,WR,18.0,14,14,,43.0,761.0,17.7,8,,,58.0,3.1,54.4,,,1.0,-3.0,0,,,-3.0,-3.0,-0.2,0.1,44.0,17.2,758.0,8,1.0,8,,,,,,,,,,,,,,,,,10319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3885,Ben Hawkins,1970.0,26.0,PHI,WR,18.0,14,9,,30.0,612.0,20.4,4,,,78.0,2.1,43.7,,,2.0,3.0,0,,,4.0,1.5,0.2,0.1,32.0,19.2,615.0,4,2.0,7,,,,,,,,,,,,,,,,,10319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886,Ben Hawkins,1971.0,27.0,PHI,WR,18.0,14,12,,37.0,650.0,17.6,4,,,65.0,2.6,46.4,,,4.0,8.0,0,,,10.0,2.0,0.6,0.3,41.0,16.0,658.0,4,1.0,6,,,,,,,,,,,,,,,,,10319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
